corridor,counted,reason_if_excluded,address,permitnum,permittype,permitclass,issued_year,issued_date,status,units_added,units_removed,net_units,description
Stone Way N,False,demolition permit (units counted on construction permit),3400 STONE WAY N,6337429-DM,Demolition,Commercial,2012,2012-12-03,Completed,0.0,1.0,0,Demolish existing commercial building  per plans.
Stone Way N,False,demolition permit (units counted on construction permit),3420 STONE WAY N,6337430-DM,Demolition,Commercial,2012,2012-12-03,Completed,0.0,1.0,0,Demolish existing commercial building  per plans.
Stone Way N,True,,4003 STONE WAY N,6350886-CN,Addition/Alteration,Commercial,2013,2013-05-08,Completed,0.0,1.0,-1.0,Remove portion of existing structure (retail / residential) and construct addition to existing restaurant (Pagliacci Piz
Stone Way N,False,demolition permit (units counted on construction permit),3636 STONE WAY N,6368254-DM,Demolition,Multifamily,2013,2013-12-18,Completed,0.0,1.0,0,Demolish structure for future construction.
Stone Way N,True,,3636 STONE WAY N,6364158-CN,New,Multifamily,2014,2014-02-13,Completed,120.0,0.0,120.0,Establish use as residential and commercial retail with accessory parking. Construct mixed use building and occupy  per 
Stone Way N,True,,3801 STONE WAY N,6380969-PH,New,Commercial,2014,2014-08-29,Completed,278.0,0.0,278.0,Construction of a residential and commercial building with below grade parking and occupy  per plan.
Stone Way N,True,,3627 STONE WAY N,6456371-CN,New,Multifamily,2015,2015-10-14,Completed,124.0,0.0,124.0,Construct new residential and retail building with below grade parking  and occupy per plan.
Stone Way N,True,,4025 STONE WAY N,6586498-CN,New,Commercial,2017,2017-11-07,Completed,59.0,0.0,59.0,Construct new mixed used building with residential and commercial  occupy per plan.
Stone Way N,True,,4035 STONE WAY N,6599695-PH,New,Commercial,2018,2018-03-07,Issued,56.0,0.0,56.0,Phased project:  Construction of a residential and retail building with below grade parking and occupy  per plan
Stone Way N,False,demolition permit (units counted on construction permit),4205 STONE WAY N,6712636-DM,,Commercial,2018,2018-09-28,Expired,50.0,0.0,0,Demolish north existing structure  per plan.
